left.context	keyword	right.context	annotator	annotator2
proper thrashing tail; all supported by demure pink wings set too far forward for	really good	aerodynamics, so that he flies with a waddle. He fulminates fire,	1	
let it get me down. '' '' You sure don't. You look	real good	, Loretta. '' '' Oh, the hell with that, '' Loretta	0	
Boo. 6oThe child come stand in front of his daddy and just look at him	real good	. You not coming? he say. Harpo say, Naw. Child	0	
, I say to her in my mind, Girl, you looks like a	real good	time, the Good Lord knows you do. What you doing here?	1	
did you just guess that? BILL You are in need of sleep,	real bad	I suggest you get it. Besides, this is our country and we have	0	
on handouts to corporations and corrupt foreign governments, he waits until we get a	really good	program such as railroad retirement or the educa -- tion bill, and he	1	
really good press. I could go overseas and have proper lessons, and become	really GOOD	,' n earn lots of money. DANIELS I shouldn't think lessons	0	
, he's around. He's a bad one, boy, a	real bad	one. I ie's become a sort of leader for a small group of	1	
off it and use it as a soccer field. Junkyard told me to take	real good	care of you. They're mowing the field for our arrival. ''	1	
? ''  #  The cook said, '' Yes, sir, that's a	real good	steak. '' He rang the bell for the waitress again.  #  ''	1	
.  #  Pop.  #  Anne Marie went last. It felt... good.	Really good	, and the noise only added to the unexpected sense of fun and exhilaration	0	
#  # BRENDAN # Why not?  #  # EMILY # I screwed up	real bad	. I really screwed up.  #  # BRENDAN # Screwed up how?  #	0	
mind getting out and banging on doors, '' he said. '' She's	really good	at getting people to help out. ''  #  Doster's presidency broke with	0	
. '' A big vote-getter, pal. One of the biggest. And a	real good	boy, too. A sweetheart. '' '' Almost like a son to	1	
lurching and crutching his way across the room on one foot to get his first	really good	close look at himself in the mirror since his injury, Domingo was struck	1	
considered and treated as one of the family. (What an excellent passport to	really good	society those young people enjoy who have good parents.) William Forbes had	1	
like you lads. I used to trap up the Chinisee. I got along	real good	with the Senecas. I had a wife out there. She was a	0	
, and having only 30 CD's to work with, the DJ played	really bad	music. Plus, everybody insisted on wearing bathing suits in the termas bath.	1	
.. &nbsp; HUEYNo time for that. Get going with Irene. And talk	real good	or we're all in the crapper. Huey tears off a little piece	0	
--  a sandwich? (Laughs) Well, I hope the Lord blesses you	real good	! (Looking him up and down. Pause) O you are a	0	
shaking his manuscript in their amazed faces. '' It's good! It's	really good	! '' And before they could recover their wits, he ran out again	0	
. '' '' Okay, then Riddel, it's been nice. Philosophy is	real good	. But watch out for my paper. '' '' Why? '' ''	0	
'' A few letters of disapproval mixed with admiring ones, but the only	real bad	news was a warrant from the traffic court informing him he'd missed his scheduled	1	
of her grasp like a snake, as though someone Up There were having a	really good	laugh at her expense. Of course, it was possible, she thought	1	
, vocational training, and child care. This was not an article about any	real good	being done. Mary Jane Ballou via America Online A willing reader Ginny Cunningham	NA	
battle brought a sour smile to her lips. '' I know I did some	real good	damage. And finally, one of them, the one who had his	1	
--  poor light, no competent assistant. &nbsp; SAMSo you'd better be a	real good	doctor. The two men look at each other. &nbsp; GARVENWhat guarantee do	1	
to the best. And I would sacrifice a thousand incapable men to elevate one	really good	person.Hunter said: And a dictator will bring revolution.I said: Sure.He said:	1	
us that army measurements indicate that there is not more than 12 per cent of	really good	intelligence in our population, whereas low grades of intelligence are at least twice	1	
she looked like the next morning. Suzy you wouldn't forget. A	real bad	risk. Suzy liked people or she didn't like them. That in itself	1	
that's out. I just want us to win this war. I guess	really good	soldiers are really good at very little else, he thought. That's	1	
smelled like mint.  #  It was also the first time she had gotten a	really good	look at his face. He looked... beautiful.  #  Pretty	1	
fall (this was in Montana) when the question arose: Are there any	really good	, moderately priced binoculars? What we were looking for were glasses that would	1	
to his knees.) Huh? KNOWLES Let's kick this cocksucka's ass	real good	. He rushes up to help ORA, and the whole of the crowd	0	
grade, '' Travis drawled. '' It set a bad precedent. A	really bad	precedent. '' Travis took a slug of his beer but kept his eye on	1	
eyewitness to the action.  #  Today for the first time Richard's body felt	really good	under the weight of the pack. He had lost some fat. He	0	
9th century onward. But it was not until close to the 14th century that	really good	paper was made in Europe, Italy leading in its manufacture. Origin and	1	
common of beverages. I doubt if one American in a hundred ever drank a	really good	cup of coffee, yet it is a luxury within the reach of everybody	1	
his eyes, warned me that this was going to be one of the	really bad	times. I phoned Doctor D. several times to express my growing appre -- hension	1	
Mike react - &nbsp; PATWell -- tennis. That's number one. I'm	really good	at that. &nbsp; MIKEYou mean you're better than with the sticks?	0	
. It's like a question on one of those tests I always do	really bad	on, no matter what school I'm going to-if you think about the question	0	
. But them folks saw to it that I learn how to build barns.	Real good	too. BAM Well, at leas' you got someplace ta go when	0	
and Providence. Mr. Bowdoin Beacon sat by his side. '' She's a	real good	girl, and pretty, and rich, though she is my cousin,	1	
her his cleverness. She knew enough about life to realise that Smeeth was a	really good	husband and that this was something to be thankful for. (North London	1	
All leaves were cancelled, too. Well, I wanted to get out	real bad	. So I told Captain Ellis that the only place in the country where truly	0	
ton of contacts at the Housing Show. Everyone seems to think we'll do	real good	. Only problem is, my heart's just not in it, which	0	
n't known that then, but he did now. Probably she and Ballard had	really good	times. He'd bet they did. Well, the more power to	1	
holiday. '' '' That's good. '' Johnny took her hand. ''	Really good	. '' I said, '' I wonder how she swung that! I	0	
saw paramedics beside her. '' That's when I realized things were getting	really bad	, '' the 55-year-old retired teacher says. '' The emergency crew knew me so	0	
administering surplus wealth for the good of the people. The first requisite for a	really good	use of wealth by the millionaire who has accepted the gospel which proclaims him	1	
He could fake best of all I seen. MOTHER Yeah, he was a	real good	fake, but not as good as my dad. Boy, I was	1	
said Papa ought to take some to the County Fair. '' That would be	really good	, '' Mama said afterward; '' I can just see you goin'	0	
you like. GAYLORD EASTERBROOK (Pours brandy into his glass) If this is	really good	I'm saved! (Turns and moves below sofa to L. side of	0	
untruths. To this Mr. J. HENRY BROOKS adds the information that if BLAINE	really bad	a secret understanding with Mr. LEE, acted in the not '' strictly honorable capacity	NA	NA
' stuff while we're gone,' cause the men who work here take	real good	care of the place. Thanks. '' (Continues...)	1	
MARY JANE HANRAHAN Everything you're telling me, Angel, it sounds like a	real good	motive to wan na murder somebody. ANGEL CRUZ My question to you was	1	
of them. Twice Loraine had to have him pumped out. Loraine was a	really good	girl and things were hard because she couldn't work in the house until	1	
thanks to a betterment in shoe demand. Fertilizer business in the South has been	really good	this past month and some volume is opening up in the Middle West.	0	
Having just come off of a two-and-a-half-year relationship that was great until things got	really bad	, now, it seems, I've thrown myself into my work. The	0	
enough in exterior, but rotten in ten or twelve years. The only	really good	residence was a fine stone building erected by Sir Edward Barnes when governor of	1	
of me. And I didn't mean it. I'm going to be	real good	this term; I promised mother. Please forget it, and don't	0	
Of saints? '' '' Do you realize, Walter, I never saw a	really good	statue in my life before? I was unprepared. '' '' Oh,	1	
beaten, just as if it were all his fault. I think it is	real good	in him to come to church anyway. If I were President and had	0	
toys to play with, but a few shovels at the crossing would do more	real good	. F. V. CLARK. New York, March 1, 1934.	NA	
Scripture till a new revival busts on the country. Cal Smith'll have a	real good	fightin' chance... '' I don't give a good God	1	
take that any day of the week. '' tommy Lee Jones '' I remember	really good	meals that I've had in Tennessee and France, and I remember the	1	
a habit of agreeing belatedly to yesterday's black demands. Today is the first	really good	opportunity Zimbabweans have had since the early 1960s when election boycotts, British ineptitude	1	
weeks. The best way to repair that thing is with a match and some	real good	kerosene and a few shavings; however, we'll have to do the	1	
guessed she do that herself like she likes to have it better. Melanctha is	real good	to stay so long to help her, but Rose guessed perhaps Melanctha better	0	
with a friend, a school club, or your family. If you get	really good	at skiing, you may want to enter competitions.  #	0	
&nbsp; FRANOISE (teasing) Teach me about life,' Arry. She's	really good	. &nbsp; GREGORYAll my mothers are talented. Harry suddenly stands up and starts	0	
part of the picture, but not the whole story. To get good,	really good	, Basil accepted that every waking moment, dripping wet or bone dry,	0	
somehow. I should like to wear something of hers too, for she was	really good	to us when we were little, and all that long time that I	0	
need to be changed, counter the autocompany experts. Then there's the	really bad	gas? gas that is improperly and in many cases illegally blended. No one	1	
thanked Amy for brunch and told her he had had a good time, a	really good	time, and Amy said she had had a really good time too.	1	
change. Man, I will tell you somethin: Usually I don get no	real good	buzz outta guys swinging on my joint. Most of the time, I	1	
'' I said, '' You know, I'll bet if we looked around	real good	we might find one of those old-type farm collies like Shep. He would	0	
unless she herself has been educated by careful reading into an appreciation of what is	really good	? A wellread mother can direct her boy to adventures as marvelous as those	0	
one's taste. I suppose it was these difficulties in the way of commanding	really good	music which made you endure so much playing and singing in your homes by	1	
'' I doubt it would have gotten this far unless they agreed it was a	real good	bet, '' said Suzanne Verity, the editor of Public Accounting Report,	1	
, in a way, my stenciling will help folks to a taste for the	really good	things. The cant of certain socalled art circles has made plenty of excellent	1	
em, Arlene. We kin get' em back together an they'll do	real good	. (Setting them down on the trunk.) These ones don't	0	
what is going on but my next match. I want a third title	real bad	; I' ve wanted it all year. I' ve got something to	0	
elevator button. &nbsp; CARTERBut bringing that shark in ahead of schedule is one	real bad	idea. Susan turns back to face him. &nbsp; MCALESTERDo you like your job	1	
never be, God hated bestest good boys when they did bad things,	really bad	things, and then Chub thought of B J., B.J. running down the beach	1	
Played caddy golf. Caddied. Washed cars. Waxed them too. Bowled.	Real good	, mom says. He was a pin boy Will went to World War	0	
now we had such good things in that line, I would invest in one	really good	rug. I did. I drifted one day into an Armenian place on	1	
Art Deco and other 20th-century periods yet unnamed are being resurrected.  #  '' The	really good	20th-century designs were clean, '' he said. '' There was no ormolu	1	
they'd be very exciting. Dramatic. I've never been in a	really bad	one, on land. That was a rather good blow in when was it	1	
demand arose about 187o-188o, and has extended so greatly t hat t o-day a	really good	, full-flavoured (lark tobacco is rare. Whether this is the result of	1	
. I was scared to death. I thought they'd call me with	real bad	news.' The news was good. His level of T-4 cells -- the	1	
Well, we ran another raid through Carbon, couple days back. Threw a	real good	scare into' em, didn't we, McGill? &nbsp; MC GILL	1	
AL COLUMBATO I don't know what White'll do if he ever gets a	real good	look in my head. Birdy's advantage is White still hasn't figured	1	
pity and compassion. In short he was destitute of every quality which constitutes a	really good	man. Their scheme, like that of the Epicureans, was pregnant with	1	
where the sky was streaked with red and purple. '' This could be a	really good	story, '' I told him. '' But I would need to meet	1	
along? '' Jack smiled. '' Well, I might, if you are	real good	, '' he said. '' I'll be good, '' Frank promised	0	
teach, and he had a lot of psychology? child psychology. He's	real good	with the kids. D: So he's helping take care of your	0	
spend all those years in Sing Sing learning it. '' '' They taught you	real good	, Don. '' '' They call it rehabilitation. You find what you	0	
many years china collectors in America neglected Lowestoft, perhaps for the excellent reason that	really good	specimens were difficult to find. People with family sets were not keen about	1	
any art -- so I carted h off for myself. But Ike's a	real good	guy. He's going to L.A. set up his own company. He	1	
the stage and listen to the band mostly to kill time even though they are	really good	but it is only nine o'clock and I am feeling a little restless and	0	
on a bandage or some duct tape, maybe Superglue it if it's	really bad	, and get back to work. Most of them had cut off at least	0	
and did his first report at 3:55 p.m.  #  '' Everybody in Philadelphia took	really good	care of me, '' he said. '' As one who has traveled	1	
. Watch TV too. Saw you on the news last night. You looked	real good	. I'm gon na make you famous, Jake, ain't I	0	
and his tux looks really handsome, it was going to be great, a	really good	evening, i could feel it p. 15 JOHN and we walk downstairs,	1	
columns wide. The advertising solicitor agreed to prepare the publicity, and did a	really good	job. In the center of the space he ran an announcement: HENRY	1	
, so no amount of good acting could satisfy me if the singing were	really bad	. Polzer's singing was not bad in the sense that it was offensive to	0	
a farm, but I was starting to make a difference. We had a	real good	crop the last two years. '' '' So, you want to be	1	
him. And without this moral independenceit will be hard for her to be a	really good	mother, for there are moments when even the best husband must be overridden	1	
. STEPHEN MINCH I was coming. MARTHA MINCH Mrs. Rutledge says you have a	really good	voice if you'd work at it. STEPHEN MINCH How does a person	1	
has ever dreamed. Nightmares are made of such sights, at least the	really bad	ones. Imagine, if you will, dive-bomber geese descending on the booth of	1	
No great epiphany, no sudden collapse; just a bit more beer than was	really good	for me and an aching vacant spot that I tried to pretend wasn't	0	
We shall have to look after them too, you know, if anything	really bad	begins. '' '' Yes, please let's not lose sight of Anne,	1	0
, less permanent, and, as I shall presently prove, less productive of	real good	. Indeed, if we examine the effects of the most active philanthropy,	NA	
her death Anneliese told him, '' I feel that it will come on	real bad	in the summer. I'm so terribly afraid and I have no strength left	0	
bombs are falling through the air. '' '' But did the country gain any	real good	by the conquest of Louisburg? '' asked Laurence. '' Or was all	NA	
pain but just with release.... Breathing is important, food. It's	really good	to come in with a full stomach. A lot of the time when	0	
If things get	really bad	, Bill Clinton may think about blaming some of his fund-raising problems on Franklin Roosevelt	0	
stir the feminine soul to its depths any more than the first preparation of a	really good	meal. Don't underrate cooking; it has powers you never dream of	1	
sorry that such conscientious officials should not have been privileged to share with him the	real good	fortune of learning about life the rough and not the smooth way. For	1	
, '' Oh no. Harley Falk made it for her. They' re	real good	friends. '' '' Does he come here often? '' '' He stops	1	
, in which she portrayed the sprightly minx Felicity Shagwell, she ate some ''	really good	tuna salad, '' made with a lot of onions and garlic that hung	1	
phone and she listens with interest. &nbsp; GRIFFITHListen, Ed. You're a	real good	pal of Lt. Kaufman's, aren't you? INT. NANCY'S	1	
, and that lovely black hair growing so low on her forehead. And a	really good	voice. And a charming figure. But I tell you one thing:	1	
, for whom I could have no deference; but among the passengers was a	really good	physician -- a navy surgeon who had made his studies in Paris. Dr.	1	
swap, '' he said. '' Don't get me wrong, it was	real good	, being able to sleep warm, but you caught me good when I	0	
you do at Cannon Ball and Black Mountain. And they are going to have	really good	ski trails. '' '' Naturally we have no intention of committing ourselves to	1	
be more than enough to pay for a taxicab uptown and a luncheon at a	really good	restaurant. He came out on Broadway and hailed a taxicab as naturally as	1	
for Karl. He's coming as Ptolemy Krill. He even wrote some	really bad	poetry. I wanted to ask you something, before we leave tomorrow. ''	1	
credibility as a person, as a witness, or when you've got a	really good	person on the stand against you, you want to undermine the credibility of	1	
obtainable, or 3; 2.9 or 2.8 was considered first class, 2.5 was	really good	, 2 was fair, and below that it fell off rapidly too,	0	
'' someone is really jealous and starts being really mean.... It's where two	really good	friends break up. '' // A '' good girl, '' journalist Peggy	1	
was a lot of auxiliary staff to help the nurses, and the patients got	really good	care. '' But when the hospital began cutting back in the mid-1990s,	1	
had been visited the night before in wakeful hours by the finest fancy for a	really good	thing that he had ever felt descend in the darkness. '' It's	1	
n't help me, '' Cully said, '' I have to get Merlyn a	really good	lawyer. Now the district attorney has probably told you that Merlyn will plead	1	
to beat the sparrows. What's more, Bill got another job, a	real good	one, bailiff to an old lady. Well, Bill didn't know	1	
Head rally neatly summed up Bush's approach. Its refrain: '' I'm	really good	at gettin' by. ''  #  Want a reformer? Bush asked his	0	
decided figure that leads more to seduction than success. | '' We've had a	real good	month since you've been away, '' said Mrs. Simmons. '' A	1	
everything. This one I let her have by herself. This one hurt	real bad	. Almost killed her, but she had it anyway. It lived, see	0	
them to apply their conclusions to the sister art. But occasionally they make a	really good	shot, as when the German art-historian, August Mayer, draws a comparison	1	
Eugne Delacroix, to the copy on the easel. '' Boy, she's	really good	, '' someone whispers. '' Aw, I bet she's doing it	0	
say you want to make a really good picture of something. I mean,	really good	. You use a laser as your strobe light. '' '' But why	1	
afterwards. I think I can tell you of the '' old school '' where	really good	manners originated. The Teacher has long since gone, and sometimes I have	1	
Little Lord Fauntleroy? LLOYD I've accepted for the moment. DALE Great.	Really good	. Now you'll have a husband and a child. Two birds,	0	
First thing to-morrow we'll go downtown and get a nice picture taken. A	real good	one, I don't care how much it costs. And then?	1	
I just said,' Ah, heck, you know, I'm just	really good	. ''  #  He's definitely in the big (20,000) leagues.	0	
of them. What one may actually know, though sometimes one does not have	really good	data on even this, is what the relevant magnitudes have been for some	1	
his reputation. It is asking too much of human credulity to believe that a	really good	man could long sustain the character of a remorseless desperado by merely making faces	1	
, carrying the only phonograph that at that time had been sufficiently completed to accomplish	really good	results. '' Reaching home and the nursery, Mr. Edison started the phonograph	1	
him as human, we are beginning to try to find out what he is	really good	for, and to train him for that. We have got over the	0	
good with the caf?! '' She looked like a delighted infant. ''	Real good	! They said I wouldn't- '' '' My congratulations. There is much pleasure	0	
I'd take you along? -- Why should I? You're a	real bad	dame, honey. -- Nobody could count on you for ten minutes. --	1	
Los Angeles  #  Sir: All I can say is that Humphrey must be a	really good	man to get the vice-presidential nomination. It's a relief, in a	1	
's somethin' else, Clem. CLEM What, Roy? ROY A	real bad	sign. CLEM Bad signs, that's right. You know that palomino horse	1	
can, since it affects American life so profoundly. I don't have any	really good	sources at the CDC headquarters in Dallas, so I was very glad for	1	
Fightin' dog. Damn I made some good money off that little dog.	Real good	money. (pause) AUSTIN You could come up north with me,	1	
It tasted like slightly damp K-ration. '' This stuff we've bade does a	real good	job. Just a little too good. '' He wiped his nose and	1	
. It's a joke... MAGGIE Far-out, Pierre. That's	really good	. Well, I guess it's goodnight. PIERRE Come and see me	0	
got married. It looked like someone came up behind her and scared her	real bad	. She couldn't stop crying. God love her. I told her not	0	
This is a cotton-hungry land, a cotton-hungry world. There ain't been a	real good	cotton crop in four years now. It's a seller's market.	1	
ones from this number can be disposed of. As a rule the eggs from	really good	Bronze turkeys find a ready sale. It is most essential, if success	1	
wondering was, what camp you folks hailed from, and if you have any	real good	medicine makers there. ''  #  The blonde replied at once, in a	1	
out on him. '' In Financial Trouble '' He tried to jam me up	real good	, but my people believed me, '' said the hoodlum. '' We	0	
round in the taverns jollying with the sailors, as some of the sons of	really good	families did. He would not have all his fortune to make, and	1	
been, that, by cultivating habits of rational intercourse between the sexes, the	real good	of both parties would be promoted; that the men would become more social	NA	
his mother, easily. But he managed to tell me, '' Not	real bad	. You know? tw I nodded. As if I understood. Then his	0	
negligent father. ''  #  '' No you haven't. '' Negligent sounded	really bad	.  #  '' Are you happy? '' he asked.  #  '' I do	0	
in closets rather than displayed in china closets with glass fronts. Few dishes are	really good	art. The sideboard with a long drawer for linen and shallow drawers for	1	
dig and dig and dig, '' he says, '' because Netscape isn't	really good	about informing people about the new features in its latest version. And it	0	
own vileness so much concealed that many square, honest lads believed he was a	really good	fellow. Bart Hodge had begun to think Snell was a sneak and bad	1	
it on Channel 8 in color. Brother, clothes you guys wear come out	really good	on color TV. You know, that guy Lucky can be a lotta	0	
the strange case of suspected terrorist Zacarias Moussaoui implored headquarters to act before something	really bad	happened.  #  Rowley's memo ripped into FBI chief Robert Mueller just as he	0	
injury which does not hinder mental or moral growth; and no gift is a	real good	but as it advances our spiritual well being. In choosing a profession for	NA	NA
a man refers to a woman as a '' piece of fruit that went	real bad	real fast '') a guilty thrill. Reference See also additional image(s) in Table	0	
, maybe. Mostly I just admire the game, and the people who are	really good	at it. '' He nodded, hand still on the doorknob. ''	0	
police happen to think highly of Lori because she is a good woman, a	really good	person, and in the line of their duties they come in contact with	1	
course the fathers and mothers are to come and look on, and have a	real good	time. We will have them in the New Hall. I wonder why	1	
shook his head. '' Doesn't look like it. He was beaten	real bad	. Unclear whether the technical cause of death's going to be the internal bleeding	0	
that Judy, 32, gives, '' But you don't know how	really bad	it is. You don't know what I put up with day after day	0	
I burn less carbon than some years ago. I see people of my standing	really good	for nothing, decrepit, effete, la levre inferieure deja pendante, with	0	
ROBYou know what I came up with, Barkhas? Life can be good.	Really good	, as long as you allow for little misbehaviors from time -- 68 --	0	
It's a draggy day anyhow. And anyway, we get to eat there	real good	. '' He adds, smiling secretly: '' And we do nt have	0	
thank you. And, Mrs. Barkley, I'm gon na learn your part	real good	. I'll probably never get to do it, but -- well,	0	
wedding present. Later on, maybe we'll be able to send you something	really good	. Best of luck... '' They let Jig Hollins and his Minnie go	0	
mistress to permit any divided love, and therefore it can not be expected that	really good	lawyers will be found in the ranks of general business agents and speculators.	1	
--  for me? Can't you do that for me? We can be	real good	friends, we can have wonderful times together. '' He came back to	1	
and farms. The cheapness of money in the Atlantic cities and the dearness of	really good	securities have jointly contributed to the investment of enormous amounts in mortgages on Western	1	
? '' '' It was. '' '' I should think you'd feel	real bad	? '' '' I do, at times. '' He smiled, and laid	0	
names yet. (A moment.) Name them all after you. Look	real good	on a map someday. Here's Virginia, here's Carolina, and	0	
, forget about the cost. Surgical strikes are the only strategy that stands a	really good	chance of achieving both of these geopolitical goals, period. Though either military	1	
delightfully that you feel a pleasure akin The New Novels to that of seeing a	really good	player in a somewhat trashy role. Miss Cholmondeley is full of minute,	1	
to wake up all of a sudden -- a fellow of my stamp -- and want to do some	real good	in the world? Well, it surprises me, and it would surprise	NA	
safe. And close them up tight.  #  JACK Marsha cut her thumb	real bad	last year carving pumpkins, so this year her dad said she couldn't carve	0	
've had spells of missing you too, John Turtle. '' '' That's	real good	, '' John Turtle said, '' the way we both been missing each	0	
lest the beautifully coloured and fragrant flowers which we pluck are poisonous. Is it	really good	psychology when Vauvenargues writes: '' All men are born sincere and die impostors	1	
'' replied the Mother-Duck. '' It is not pretty, but it has a	really good	disposition, and swims as well as any other; yes, I may	1	
there and mix it up like a longshoreman. But the joy of finding a	really good	bargain is worth it. '' One typical joyful day during last week's	1	
n't tell nobody. CHICKIE See, the truth is, Demaris you're	really bad	at this, but if you smoke a little crack, it's gon na	0	
Alexander Korda, and the war gave a further stimulus, with the need for	really good	propaganda. Films like Pimpernel Smith, The Way Ahead and San Demetrio,	1	
someone had given Katie. Ricky thought that it was bad.  #  ''	Really bad	! '' he cried. '' Wretched! ''  #  '' Oh, not that	0	
child, '' they teach you much where you come from. You can sew	real good	, you talks real good and you cook, but ain't nobody teach	0	
of bass).  #  '' There are probably four shops in California that are	really good	and this is one of the best, '' said Robert Louis Stephens,	0	
down to the earnest part of him, and Jim has, after all,	really good	, sensible ideas of life and aspirations after what is right and true.	1	
experience warrants the opinion that in London, as in New-York, the demand for	really good	railroad bonds has kept pace with the accumulation of unemployed capital, and is	1	
like me believes You're there and that you know Oscar hadn't a	really bad	hair in his head. Take his soul, Lord, and be as good	1	
and his associates are trying to find out what the new device or product is	really good	for. For example, the Diesel engine has found wide acceptance in America	0	
... &nbsp; LUCKY (smiling at him) Well, any time you want a	really good	cry, think of me, Pop. &nbsp; POP (he is at	1	
B.B. (my brother and father) if you ever wanted to father a	really bad	repeat bad (Give no quarter -- Take no quarter) boy then you have	1	
poker table. -- 110 -- &nbsp; DRAGLINEOh mah poor baby. They done you	real good	.... I don't know if you gon na have them	0	
, and others don't do it. I would rather that they all did	really good	work, but it's hit and miss. ''  #  Locally it's	1	
account of them feeling sorry for Mrs. Mulvaney, since she's a really,	really good	teacher, but she has never been able to have any kids of her	1	
up until something changes. Until some purpose is clear. It's not	really bad	timing for me, it's terrible timing for you. Excuse me. (	1	
Jarrett knows what it takes to stay in contention.  #  '' You have some	really good	teams with drivers that are hungry for a championship, '' Jarrett said.	1	
or something -- I don't know where -- and found out it was	real bad	; something bad. '' They had passed the boy and Marian looked around,	0	
armed, I don't even have a knife. '' '' He talks English	real good	, don't he? '' said one soldierto another. '' Of course	0	
when the play is over, the students are more reflective. '' It was	really good	, '' says Shina Mills, a sophomore. '' It helps teenagers not	0	
Maybe she's going to Hollywood, '' DeeDee said. '' Esther Williams did	real good	, you know, with that swimming stuff. Maybe they're going to	0	
... something about the stairway, my old man....	Real bad	nightmares. I keep having the same one all the time....	1	
took the Tube up to London andwalked up and down Bond Street to have a	real good	look at the shops and, above all, at the people who used	1	
can fill, and if she ever brings up that phrase again, something	really bad	is going to happen to somebody, you're just not sure who.  #	0	
comfort, neatness. And what do you think is man's idea of a	really good	haircut? One that doesn't look.as though he'd had a haircut at	1	
as my grandfather. We stop talking when the fight starts. My guy is	really good	. He comes out of the corner like a bulldog attacking an intruder,	0	
a conference game, it's not a sectional situation... But it's two	really good	programs, '' Clayton said. '' It's our best measuring stick in	1	
Frank, '' says Frank's father, 81. '' And it makes me	really good	and sad that he's not around here any more. '' His oldest	0	
do what I can to help you with Danny. -- He's not	really bad	. Nor is my Tom. -- Lord, I wish I had no more	0	
story again and again. It just came out one time, and it felt	really good	. Then each time I'd say it, I'd make it a	0	
goodness to us, so that we are treated just as if we had been	really good	when we haven't at all, and that is what it means where	0	
financial considerations worked out as they should be. '' // '' We'll take	really good	care of you, Bob. '' // I hung up the phone before	1	
halls and all-when Dad wasn't there. We missed opportunities. And I got	really good	at missing opportunities. I am Emily. Emily Rhode. When I was	0	
'' '' Spence Benkovic. I've seen him work a ship, he's	really good	. Someone was telling me he's still up on his moon colony.	0	
sonorous, bell-toned laughter. '' Shanghaied? -- you? Now, that is	really good	. And what are you going to do now? '' '' What are	0	
than come down in what they are pleased to name as their figures. A	really good	actor has little difficulty in securing an engagement at a reasonable salary. I	1	
to accept a rather dubious denial. Others, less interested, reflected that a	really good	comedian rarely laughs at his own jokes; that neither the joke nor the	1	
'' We ought to have made this fruit cake a week ago to have it	really good	, '' she said, and shelved the subject of Truxton Beaufort. ''	0	
. It's all true, what you said. And I think we did	real good	on the river, don't you? I mean, for amateurs.	0	
expectation disappointed, so much of preparation fall to naught, and so much of	really good	feeling excited in Christians of so many different and distant nations thrown back into	1	
what you were meant to do, what you believed in, what you were	really good	at. I'll tell you, nothing in the world is better than	0	
work every day and really take out your frustrations. '' // When he gets	really good	at it, the pro player becomes the consummate aggressor. He becomes Doug	0	
little shake of the head. '' I'm afraid you'll never make a	really GOOD	fraud, '' she said. '' You haven't got it in you	1	
n't have to walk a cat, do you? '' I could tell how	really good	the idea was by the expression on their faces. I could have counted	1	
his seat. It is this kind of ignorance of the simplest political matters among	really good	citizens, combined with their timidity, which is so apt to characterize a	1	
They were busy anyway, '' he drawled. '' Guess the storm hit	real bad	up there. Your visitor wasn't too sick, huh? ''  #  Dumb	0	
. ''' At's just a ordinary vegetable crate they stomp on. Splinters	real good	. '' A horse-drawn carriage. '' Shucks, them's coconut shells rapped	0	
, and heartily congratulate Mr. Campbell upon some portions of the dialogue, which are	really good	and far superior to any similar play which we have seen. But that	0	
. Many of your institutions are derived from Great Britain, and all that is	really good	, grand, and noble in the British Constitution, has come down from	0	
pretty good thing to bang them around for a little bit, and I felt	real good	about it. I went about closing the door real easy and then I	0	
it's about time I stopped using you as a source and closed you out	real good	. I can run you in any time I want. With your sheet	0	
regiment right up to the muzzles of a battery of guns, and feel	real bad	when the whole regiment has to be buried. Then they start thinking what ought	0	
at hiding their farlies. Inevitably, people who were really good at being	really bad	became master criminals. It was that, or die forever. There were only	0	
know how you like to steal things? You know how you're really,	really good	at it? ''  #  '' Yeah, '' says his father.  #	0	
hani would do. Xenophobia again. But in this case, xenophobia with a	real good	reason. I'm guessing Ehrran's real and immediate motive in going along	1	
than the nation as a whole, '' she notes. '' We have a	really good	opportunity here to get past the ideological debates over' good' and'	1	
pulse seem all right, and that bump on his head doesn't look	really bad	, but he hasn't moved at all. Can you think of anything else	0	
he thought of his making those notes. Then he despised himself, which was	really good	for his soul. His conscience, instead of rejoicing, rebuked him as	0	
the day's attendance at something like ninety-seven per cent of enrollment. That was	really good	; why, it was only three per cent short of perfect! Maybe	0	
actors, '' he said. But we really had a good crew and a	really good	, talented director (Peter Segal). And I'm doing the kind	1	
, and so I shaved off some jerky into a kettle and stirred it up	real good	with a fire under it. Soon I'd have us some broth.	0	
. A great one for small talk. And he loves-loves-above all things in life-a	really good	off-color joke. As for hobbies, not many people know about it,	1	
; so that Nelly, for the first time in many months, had a	really good	game of play with children of her own age, an intense pleasure to	1	
their superiors. And truly there is more than plausibility in the theory that a	really good	policeman would be efficient anywhere in proportion to his familiarity with conditions and personalities	1	
fight the Devil and has done so quite gallantly in four or five volumes of	really good	old-fashioned sermons, '' books, '' as he will tell you with a	1	
urges people to file their tax returns as early as possible, but is this	really good	advice? Paul N. Strassels, a former IRS legal specialist and author of	1	
This boy is a very good painter, for now. There aren't any	really good	painters now. But with false teeth, now, in his twenty-fifth year	1	
that although he had been guilty of a serious crime, he was not	really bad	at heart, and that this was his first offense, into which he had	0	
